fromGeneId	fromSymbol	toGeneId	toSymbol	best	bestReverse	methodCount	totalMethodCount
HGNC:24086	A1CF	ZFIN:ZDB-GENE-060824-3	a1cf	Yes	Yes	10	10
HGNC:23336	A2ML1	ZFIN:ZDB-GENE-080212-2	zgc:171426	No	Yes	3	10
HGNC:13666	AAAS	ZFIN:ZDB-GENE-030912-4	aaas	Yes	Yes	10	10
HGNC:21298	AACS	ZFIN:ZDB-GENE-040426-903	aacs	Yes	Yes	10	10
HGNC:17	AADAC	ZFIN:ZDB-GENE-130530-713	aadac	Yes	Yes	10	10
HGNC:24427	AADACL2	ZFIN:ZDB-GENE-130530-713	aadac	Yes	No	4	10
HGNC:32037	AADACL3	ZFIN:ZDB-GENE-080919-2	aadacl4	Yes	Yes	8	10
HGNC:32038	AADACL4	ZFIN:ZDB-GENE-080919-2	aadacl4	Yes	Yes	8	10
HGNC:17929	AADAT	ZFIN:ZDB-GENE-111229-1	aadat	Yes	Yes	10	10
HGNC:25662	AAGAB	ZFIN:ZDB-GENE-040718-120	aagab	Yes	Yes	10	10
HGNC:19679	AAK1	ZFIN:ZDB-GENE-081105-101	aak1a	Yes_Adjusted	Yes	8	10
HGNC:19679	AAK1	ZFIN:ZDB-GENE-091118-25	aak1b	Yes	Yes	9	10
HGNC:30205	AAMDC	ZFIN:ZDB-GENE-050522-64	aamdc	Yes	Yes	10	10
HGNC:18	AAMP	ZFIN:ZDB-GENE-040426-2370	aamp	Yes	Yes	10	10
HGNC:19	AANAT	ZFIN:ZDB-GENE-040329-1	aanat1	Yes	Yes	10	10
HGNC:19	AANAT	ZFIN:ZDB-GENE-991019-6	aanat2	Yes_Adjusted	Yes	5	10
HGNC:15886	AAR2	ZFIN:ZDB-GENE-040704-68	aar2	Yes	Yes	10	10
HGNC:33842	AARD	ZFIN:ZDB-GENE-081104-135	si:ch211-153f2.3	Yes	Yes	4	10
HGNC:20	AARS1	ZFIN:ZDB-GENE-030131-3663	aars1	Yes	Yes	10	10
HGNC:21022	AARS2	ZFIN:ZDB-GENE-041008-213	aars2	Yes	No	1	10
HGNC:28417	AARSD1	ZFIN:ZDB-GENE-040801-91	aarsd1	Yes	Yes	10	10
HGNC:23993	AASDH	ZFIN:ZDB-GENE-041210-322	aasdh	Yes	Yes	9	10
HGNC:14235	AASDHPPT	ZFIN:ZDB-GENE-050913-36	aasdhppt	Yes	Yes	10	10
HGNC:17366	AASS	ZFIN:ZDB-GENE-061220-8	aass	Yes	Yes	10	10
HGNC:19235	AATF	ZFIN:ZDB-GENE-030131-9654	aatf	Yes	Yes	10	10
HGNC:21	AATK	ZFIN:ZDB-GENE-100812-4	aatka	No	Yes	6	10
HGNC:21	AATK	ZFIN:ZDB-GENE-100812-6	aatkb	Yes	Yes	10	10
HGNC:23	ABAT	ZFIN:ZDB-GENE-031006-4	abat	Yes	Yes	10	10
HGNC:29	ABCA1	ZFIN:ZDB-GENE-031006-12	abca1a	Yes	Yes	10	10
HGNC:29	ABCA1	ZFIN:ZDB-GENE-030131-9826	abca1b	Yes	Yes	10	10
HGNC:30	ABCA10	ZFIN:ZDB-GENE-050517-5	abca5	Yes	No	3	10
HGNC:14637	ABCA12	ZFIN:ZDB-GENE-030131-9790	abca12	Yes	Yes	10	10
HGNC:32	ABCA2	ZFIN:ZDB-GENE-050517-1	abca2	Yes	Yes	4	10
HGNC:33	ABCA3	ZFIN:ZDB-GENE-050517-2	abca3b	Yes	Yes	10	10
HGNC:34	ABCA4	ZFIN:ZDB-GENE-050517-3	abca4a	Yes	Yes	10	10
HGNC:34	ABCA4	ZFIN:ZDB-GENE-050517-4	abca4b	No	Yes	9	10
HGNC:35	ABCA5	ZFIN:ZDB-GENE-050517-5	abca5	Yes	Yes	10	10
HGNC:36	ABCA6	ZFIN:ZDB-GENE-050517-5	abca5	Yes	No	3	10
HGNC:37	ABCA7	ZFIN:ZDB-GENE-050517-6	abca7	Yes	Yes	5	10
HGNC:38	ABCA8	ZFIN:ZDB-GENE-050517-5	abca5	Yes	No	3	10
HGNC:39	ABCA9	ZFIN:ZDB-GENE-050517-5	abca5	Yes	No	3	10
HGNC:40	ABCB1	ZFIN:ZDB-GENE-080204-52	abcb4	Yes	No	9	10
HGNC:41	ABCB10	ZFIN:ZDB-GENE-040525-2	abcb10	Yes	Yes	10	10
HGNC:42	ABCB11	ZFIN:ZDB-GENE-050517-13	abcb11a	Yes_Adjusted	Yes	3	10
HGNC:42	ABCB11	ZFIN:ZDB-GENE-050517-14	abcb11b	Yes	Yes	10	10
HGNC:45	ABCB4	ZFIN:ZDB-GENE-080204-52	abcb4	Yes	Yes	10	10
HGNC:46	ABCB5	ZFIN:ZDB-GENE-030131-6414	abcb5	No	Yes	1	10
HGNC:47	ABCB6	ZFIN:ZDB-GENE-050517-9	abcb6a	Yes	Yes	10	10
HGNC:47	ABCB6	ZFIN:ZDB-GENE-070912-584	abcb6b	Yes_Adjusted	Yes	6	10
HGNC:48	ABCB7	ZFIN:ZDB-GENE-050517-10	abcb7	Yes	Yes	10	10
HGNC:49	ABCB8	ZFIN:ZDB-GENE-050410-6	abcb8	Yes	Yes	10	10
HGNC:50	ABCB9	ZFIN:ZDB-GENE-050517-12	abcb9	Yes	Yes	10	10
HGNC:51	ABCC1	ZFIN:ZDB-GENE-050517-15	abcc1	Yes	Yes	10	10
